approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches
PyGenProg,markup,1,1,sequential,B,0,0,1,10,11,11,3.4986958503723145,245.91425895690918,71.83122634887695,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,4
PyGenProg,markup,1,1,sequential,F,5,5,1,10,10,11,2.7000668048858643,325.6796889305115,159.0343427658081,0.4,1.0,0.34,0.5074626865671642,0.67,24
PyGenProg,markup,1,1,sequential,F,10,10,1,10,20,11,4.02938175201416,360.9419434070587,152.72064852714539,0.4,1.0,0.34,0.5074626865671642,0.67,24
PyGenProg,markup,1,1,sequential,F,30,30,1,10,60,11,2.9309768676757812,426.82197403907776,168.4638922214508,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,21
PyGenProg,markup,1,1,sequential,F,50,50,1,10,100,11,3.4096693992614746,326.53440165519714,150.61524963378906,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,22
PyGenProg,markup,1,1,sequential,V,5,5,1,10,11,10,2.527846336364746,228.78708362579346,108.39646601676941,0.7636363636363637,1.0,0.74,0.8505747126436781,0.87,11
PyGenProg,markup,1,1,sequential,V,10,10,1,10,11,20,2.72178053855896,264.5525395870209,108.75599002838135,0.7636363636363637,1.0,0.74,0.8505747126436781,0.87,11
PyGenProg,markup,1,1,sequential,V,30,30,1,10,11,60,2.795560121536255,262.3537600040436,108.41482758522034,0.7636363636363637,1.0,0.74,0.8505747126436781,0.87,11
PyGenProg,markup,1,1,sequential,V,50,50,1,10,11,100,2.8307933807373047,254.2185890674591,118.36335039138794,0.7636363636363637,1.0,0.74,0.8505747126436781,0.87,11
PyGenProg,markup,1,1,sequential,C,5,5,0,0,10,10,3.175349712371826,262.18599224090576,77.32502102851868,0.17454545454545456,0.22580645161290322,0.14,0.1728395061728395,0.33,2
PyGenProg,markup,1,1,sequential,C,10,10,0,0,20,20,2.9366378784179688,348.4781708717346,65.26639199256897,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,1
PyGenProg,markup,1,1,sequential,C,30,30,0,0,60,60,2.753251075744629,315.619074344635,55.5546989440918,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,1
PyGenProg,markup,1,1,sequential,C,50,50,0,0,100,100,2.6057183742523193,278.7282164096832,72.21208262443542,0.4,1.0,0.34,0.5074626865671642,0.67,1
PyGenProg,markup,1,10,sequential,B,0,0,1,10,11,11,2.9234459400177,323.7275538444519,64.49050450325012,0.7636363636363637,1.0,0.74,0.8505747126436781,0.87,1
PyGenProg,markup,1,10,sequential,F,5,5,1,10,10,11,2.8120365142822266,358.8536522388458,152.75781869888306,0.4,1.0,0.34,0.5074626865671642,0.67,22
PyGenProg,markup,1,10,sequential,F,10,10,1,10,20,11,2.509917736053467,315.89026856422424,145.03016662597656,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,21
PyGenProg,markup,1,10,sequential,F,30,30,1,10,60,11,3.198042154312134,425.7829384803772,157.29160857200623,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,22
PyGenProg,markup,1,10,sequential,F,50,50,1,10,100,11,2.765946626663208,511.1881308555603,139.70977115631104,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,19
PyGenProg,markup,1,10,sequential,V,5,5,1,10,11,10,3.280383348464966,263.22192001342773,115.60820269584656,0.4,1.0,0.34,0.5074626865671642,0.67,12
PyGenProg,markup,1,10,sequential,V,10,10,1,10,11,20,2.9457149505615234,296.2168891429901,115.70166754722595,0.4,1.0,0.34,0.5074626865671642,0.67,12
PyGenProg,markup,1,10,sequential,V,30,30,1,10,11,60,2.8648569583892822,287.36643505096436,114.84141564369202,0.4,1.0,0.34,0.5074626865671642,0.67,12
PyGenProg,markup,1,10,sequential,V,50,50,1,10,11,100,2.920546054840088,320.1186590194702,127.91698145866394,0.4,1.0,0.34,0.5074626865671642,0.67,12
PyGenProg,markup,1,10,sequential,C,5,5,0,0,10,10,3.245192050933838,564.021162033081,63.72413372993469,0.22181818181818183,0.2631578947368421,0.2,0.22727272727272727,0.32,3
PyGenProg,markup,1,10,sequential,C,10,10,0,0,20,20,2.4801321029663086,491.8087623119354,92.65616488456726,0.6890909090909091,0.9705882352941176,0.66,0.7857142857142857,0.82,6
PyGenProg,markup,1,10,sequential,C,30,30,0,0,60,60,3.2456750869750977,593.0767648220062,83.80747842788696,0.4,1.0,0.34,0.5074626865671642,0.67,1
PyGenProg,markup,1,10,sequential,C,50,50,0,0,100,100,3.2875704765319824,694.747321844101,60.74551844596863,0.32727272727272727,1.0,0.26,0.41269841269841273,0.63,2
PyGenProg,markup,2,1,sequential,B,0,0,1,10,11,11,3.218549966812134,240.20673155784607,90.05580878257751,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,5
PyGenProg,markup,2,1,sequential,F,5,5,1,10,10,11,3.0958352088928223,307.78981852531433,145.52301788330078,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,22
PyGenProg,markup,2,1,sequential,F,10,10,1,10,20,11,2.679857015609741,284.20265650749207,154.86552166938782,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,23
PyGenProg,markup,2,1,sequential,F,30,30,1,10,60,11,2.969434976577759,309.5750963687897,131.31527972221375,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,18
PyGenProg,markup,2,1,sequential,F,50,50,1,10,100,11,2.9716782569885254,320.9211730957031,150.57289838790894,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,22
PyGenProg,markup,2,1,sequential,V,5,5,1,10,11,10,2.4472572803497314,199.994473695755,106.03084373474121,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,12
PyGenProg,markup,2,1,sequential,V,10,10,1,10,11,20,2.491895914077759,275.595210313797,113.06107711791992,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,12
PyGenProg,markup,2,1,sequential,V,30,30,1,10,11,60,2.697453260421753,222.24705839157104,104.11124897003174,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,12
PyGenProg,markup,2,1,sequential,V,50,50,1,10,11,100,3.0871589183807373,264.40530133247375,103.0920557975769,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,12
PyGenProg,markup,2,1,sequential,C,5,5,0,0,10,10,3.157089948654175,276.5142743587494,53.374054193496704,0.10181818181818182,0.10204081632653061,0.1,0.10101010101010102,0.11,1
PyGenProg,markup,2,1,sequential,C,10,10,0,0,20,20,2.340050458908081,280.79363322257996,64.42550325393677,0.1890909090909091,0.2,0.18,0.1894736842105263,0.23,1
PyGenProg,markup,2,1,sequential,C,30,30,0,0,60,60,3.077908754348755,364.16617727279663,54.495076417922974,0.2872727272727273,0.30434782608695654,0.28,0.2916666666666667,0.32,1
PyGenProg,markup,2,1,sequential,C,50,50,0,0,100,100,3.2492597103118896,288.6373677253723,54.30582284927368,0.1890909090909091,0.2,0.18,0.1894736842105263,0.23,1
PyGenProg,markup,2,10,sequential,B,0,0,1,10,11,11,2.4830868244171143,443.11557054519653,51.227051973342896,0.6909090909090909,1.0,0.66,0.7951807228915663,0.83,1
PyGenProg,markup,2,10,sequential,F,5,5,1,10,10,11,6.288947582244873,495.64263558387756,205.14094352722168,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,21
PyGenProg,markup,2,10,sequential,F,10,10,1,10,20,11,5.881506681442261,492.4223885536194,144.46326279640198,0.44545454545454544,0.46808510638297873,0.44,0.4536082474226804,0.47,23
PyGenProg,markup,2,10,sequential,F,30,30,1,10,60,11,2.4653842449188232,313.91295409202576,131.74880194664001,0.6909090909090909,1.0,0.66,0.7951807228915663,0.83,22
PyGenProg,markup,2,10,sequential,F,50,50,1,10,100,11,4.199758052825928,459.02959537506104,134.16439700126648,0.44727272727272727,0.4782608695652174,0.44,0.4583333333333333,0.48,22
PyGenProg,markup,2,10,sequential,V,5,5,1,10,11,10,2.657099485397339,237.47117733955383,118.84468936920166,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,17
PyGenProg,markup,2,10,sequential,V,10,10,1,10,11,20,3.5116426944732666,317.1020984649658,120.77070093154907,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,17
PyGenProg,markup,2,10,sequential,V,30,30,1,10,11,60,4.0263872146606445,386.7562310695648,127.86398673057556,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,17
PyGenProg,markup,2,10,sequential,V,50,50,1,10,11,100,3.862152576446533,384.6018888950348,158.41363382339478,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,17
PyGenProg,markup,2,10,sequential,C,5,5,0,0,10,10,4.005056858062744,570.0312874317169,72.34298467636108,0.6909090909090909,1.0,0.66,0.7951807228915663,0.83,8
PyGenProg,markup,2,10,sequential,C,10,10,0,0,20,20,3.503382444381714,647.5562877655029,110.83396220207214,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,17
PyGenProg,markup,2,10,sequential,C,30,30,0,0,60,60,3.9718308448791504,692.105233669281,56.78588557243347,0.4109090909090909,0.45454545454545453,0.4,0.4255319148936171,0.46,1
